Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784654180,100,GET,/visualizations,4.400000,0.000000,43,170,210,340,470,910,1200,1200,1200,1200,1200,82,0,75,193.07866735320337,3.4956709932885133,1170.8420619979734,636.0
1784654180,100,,Aggregated,63.800000,0.000000,240,340,420,480,650,920,1300,1400,1600,1600,1600,1185,0,270,338.52624794507454,3.0118549984763376,1554.7436339984415,303.1713080168776
1784654181,100,GET,/health,10.200000,0.000000,11,89,150,190,430,800,1100,1200,1200,1200,1200,191,0,36,160.61021644494548,3.0118549984763376,1192.0429330057232,172.36125654450262
1784654181,100,POST,/predict,49.100000,0.000000,270,350,430,520,660,950,1300,1500,1600,1600,1600,973,0,290,377.10046818601217,68.60802300070645,1554.7436339984415,298.912641315519
1784654181,100,GET,/visualizations,4.900000,0.000000,55,170,210,260,470,910,1200,1200,1200,1200,1200,84,0,80,193.40543988056154,3.4956709932885133,1170.8420619979734,636.0
1784654181,100,,Aggregated,64.200000,0.000000,230,310,400,450,650,920,1300,1400,1600,1600,1600,1248,0,260,331.60365691982497,3.0118549984763376,1554.7436339984415,302.2331730769231
1784654182,100,GET,/health,10.700000,0.000000,15,100,170,210,430,800,1100,1200,1200,1200,1200,202,0,32,155.60142848014516,3.0118549984763376,1192.0429330057232,172.37623762376236
1784654182,100,POST,/predict,48.600000,0.000000,280,360,440,520,660,950,1300,1500,1600,1600,1600,1027,0,290,373.237533955185,68.60802300070645,1554.7436339984415,298.9104186952288
1784654182,100,GET,/visualizations,5.000000,0.000000,120,200,260,360,470,910,1200,1200,1200,1200,1200,88,0,80,190.57690427243043,3.4956709932885133,1170.8420619979734,636.0
1784654182,100,,Aggregated,64.300000,0.000000,250,330,410,470,650,920,1300,1400,1600,1600,1600,1317,0,260,327.6516351563692,3.0118549984763376,1554.7436339984415,302.02657555049353
1784654183,100,GET,/health,11.400000,0.000000,27,120,190,240,430,800,1100,1200,1200,1200,1200,213,0,32,152.78155578862894,3.0118549984763376,1192.0429330057232,172.3661971830986
